GAME ID,DATE TIME,TIME,Location,Home Team,Road Team,Home Score,Road Score,Result,Home Team Logo,Road Team Logo
1,10/16/2018,8:00 PM,TD Garden,Boston Celtics,Philadelphia 76ers,105,87,105 - 87,https://www.nba.com/assets/logos/teams/primary/web/BOS.svg,https://www.nba.com/assets/logos/teams/primary/web/PHI.svg
2,10/16/2018,10:30 PM,ORACLE Arena,Golden State Warriors,Oklahoma City Thunder,108,100,108 - 100,https://www.nba.com/assets/logos/teams/primary/web/GSW.svg,https://www.nba.com/assets/logos/teams/primary/web/OKC.svg
3,10/17/2018,7:00 PM,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,112,113,112 - 113,https://www.nba.com/assets/logos/teams/primary/web/CHA.svg,https://www.nba.com/assets/logos/teams/primary/web/MIL.svg
4,10/17/2018,7:00 PM,Little Caesars Arena,Detroit Pistons,Brooklyn Nets,103,100,103 - 100,https://www.nba.com/assets/logos/teams/primary/web/DET.svg,https://www.nba.com/assets/logos/teams/primary/web/BKN.svg
5,10/17/2018,7:00 PM,Bankers Life Fieldhouse,Indiana Pacers,Memphis Grizzlies,111,83,111 - 83,https://www.nba.com/assets/logos/teams/primary/web/IND.svg,https://www.nba.com/assets/logos/teams/primary/web/MEM.svg
6,10/17/2018,7:00 PM,Amway Center,Orlando Magic,Miami Heat,104,101,104 - 101,https://www.nba.com/assets/logos/teams/primary/web/ORL.svg,https://www.nba.com/assets/logos/teams/primary/web/MIA.svg
7,10/17/2018,7:30 PM,Madison Square Garden,New York Knicks,Atlanta Hawks,126,107,126 - 107,https://www.nba.com/assets/logos/teams/primary/web/NYK.svg,https://www.nba.com/assets/logos/teams/primary/web/ATL.svg
8,10/17/2018,7:30 PM,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,116,104,116 - 104,https://www.nba.com/assets/logos/teams/primary/web/TOR.svg,https://www.nba.com/assets/logos/teams/primary/web/CLE.svg
9,10/17/2018,8:00 PM,Toyota Center,Houston Rockets,New Orleans Pelicans,112,131,112 - 131,https://www.nba.com/assets/logos/teams/primary/web/HOU.svg,https://www.nba.com/assets/logos/teams/primary/web/NOP.svg
10,10/17/2018,8:30 PM,AT+ACY-T Center,San Antonio Spurs,Minnesota Timberwolves,112,108,112 - 108,https://www.nba.com/assets/logos/teams/primary/web/SAS.svg,https://www.nba.com/assets/logos/teams/primary/web/MIN.svg
11,10/17/2018,10:00 PM,Golden 1 Center,Sacramento Kings,Utah Jazz,117,123,117 - 123,https://www.nba.com/assets/logos/teams/primary/web/SAC.svg,https://www.nba.com/assets/logos/teams/primary/web/UTA.svg
12,10/17/2018,10:30 PM,Staples Center,LA Clippers,Denver Nuggets,98,107,98 - 107,https://www.nba.com/assets/logos/teams/primary/web/LAC.svg,https://www.nba.com/assets/logos/teams/primary/web/DEN.svg
